Species,L-arginine,3-Dehydrocholate,7-Dehydrocholate,Deoxycholate,Lithocholate,Creatine,S-Adenosyl-L-methionine,L-tryptophan,Formaldehyde,Formate
Akkermansia muciniphila,0.000122480948800424,0,0,0,0,0.000156821986385087,0.0252623971656758,0.0234670949308427,0.0403300914664491,0
Alistipes finegoldii,0,0,0,0,0,0,0.0216463023261756,0.00555008599788808,0.0155639313993591,0
Alistipes indistinctus,0.00125113528396031,0,0,0,0,0.00131925924125382,0.0108002594812032,0,0.00985873608381678,0
Alistipes putredinis,0.0123317023224461,0,0,0,0,0.0155822291331353,0.0285739062417004,0.0608736768547137,0.00291584053862301,0
Alistipes shahii,0.0554567997689712,0,0,0,0,0.051718953317239,0,0.0751281314087273,0.00198032257500547,0.0139416545896101
Anaerostipes hadrus,6.70198082359966e-06,0,0,0,0,4.65589020897039e-05,0.0346111914116152,0.00311449309333482,0.0527431768048475,0.00222053264977401
Bacteroides caccae,0.0222740969445306,0,0,0.0253375203757821,0,0.0183986056674556,0.0367262640874114,0.11856176966898,0.000526017838518901,0.02475559197721
Bacteroides clarus,0.00246345890829534,0,0,0,0,0.00237612579189425,0.0442959683780175,0.0859594378866202,0.00231330049197073,0.0190176701276174
Bacteroides coprocola,0,0,0,0,0,0,0.00120760573885684,0.0568365124530559,0.000681618145245234,0
Bacteroides eggerthii,0,0,0,0,0,0,0.00424030289396375,0.117458844699362,0.0182618576880475,0
Bacteroides finegoldii,0.0374227616998298,0,0.386608077800796,0,0,0.0350279371561043,0.0104133374722014,0.212726291975899,0.0338123996570793,0.00512182552058634
Bacteroides fragilis,0.00512048323902601,0,0.412763323381938,0.0136937380998303,0.0136937380998303,0.00357105154305162,0.0390739930255288,0.062595072550546,0.00404764546769559,0.00325416839526882
Bacteroides massiliensis,0,0,0,0,0,0,0.00647635826045232,0,0.00604442699937235,0
Bacteroides ovatus,0.00501170327351102,0,0.219749963125672,0.0347032557604573,0,0.00380480516545561,0.0415551221044382,0.116529584213898,0.00668159222848073,0.0383889531010852
Bacteroides plebeius,0,0,0,0,0,0,0.00105967926305541,0,0.0361599700121426,0
Bacteroides stercoris,0.00144747967110933,0,0,0.0546629802393212,0,0.00128357997634058,0.00720968123766898,0.248786110352414,0.0448459271243157,0.0122228165142266
Bacteroides thetaiotaomicron,0.0093898553403714,0,0.475352408699061,0.00208487531265151,0,0.00743719769130084,0.0411451766729995,0.112713853955199,0.00447915454962344,0.00697276021062201
Bacteroides uniformis,0.00701503876230057,0,0,0.0239076393103667,0,0.00733175558526565,0.0499549139471862,0.355098071191116,0.0378049962508438,0.0154396697778919
Bacteroides vulgatus,0.0217055731377431,0,0,0.0634090282826149,0,0.0185502268995014,0.0765495100957842,0.541734145032769,0.000482911600064582,0
Bifidobacterium bifidum,0.0155116439724367,0,0,0,0,0.0138534633726913,0.00313915740477964,0.00491687940128396,0.00139012457778215,0.00219447253242444
Bifidobacterium longum,0.000196982073229683,0,0,0.18157818534352,0.18157818534352,0.000374924052954041,0.00147881686846669,4.03110825971669e-05,0.00625777677834322,0.00386832647943544
Bilophila wadsworthia,0.113508119523724,0,0,0.0108280324028551,0.0108280324028551,0.105137287884769,0.0561265856723245,0.0248781065178743,0.00134531231303971,0.00412916571800172
Blautia faecis,0.00169734661646467,0,0,0,0,0.00184086950635331,1.27670339428873e-05,0,0.110866206970753,0.0231256970266642
Blautia massiliensis,0.0140444703697791,0,0,0,0,0.0145426216485253,0.0118225220660865,0,0.199335340949457,0
Blautia obeum,0.00206974267414242,0,0,0.0109128937056519,0.0183245091457705,0.00207722001708484,0.00369020560635353,0.0029084549179861,0.00621523743344127,0.00971792495624259
Butyricimonas virosa,0,0,0,0,0,0,0.0888084424400499,0.0491255615267556,9.13877826805483e-05,0
Butyrivibrio crossotus,0,0,0,0,0,0,0.010524488221758,0.0945197077675035,0.000653511512130944,2.79015660698563e-05
Collinsella aerofaciens,0.0279095094687183,0.935027840496879,0.00464088171208656,0,0,0.0251123016678957,0.0181262216770107,0.0197205307116941,0.008052149723038,0.000951932715023166
Coprococcus catus,0,0,0,0,0,0,4.50591959361913e-05,0.0186923592390258,0.0333191505473488,0.002411902044444
Coprococcus comes,0.0280708135000215,0,0,0,0,0.0292389395493717,0.00414362088352492,0.00716758771185278,0.0158193625066965,0.000315525647301879
Coprococcus eutactus,0,0,0,0,0,0,0.001412984530519,0,0.0103793340958489,0.0172653224566417
Dialister invisus,0,0,0,0,0,0,0.0324165663502656,0.0583373882452951,0.0444931736133035,0
Dorea formicigenerans,0.0258595128433464,0,0,0.0655439244158881,0,0.0279684100533397,0.00626681705694066,0.0130637761358832,0.0363068329075094,0.00109029590249562
Dorea longicatena,0.0309696585234712,0,0,0,0,0.0317435553501255,0.0323714825534165,0.000837137861985257,0.0113884675757829,0.00581388117637487
Eggerthella lenta,0.00187586133519704,0.471720813690018,0.0328483715042787,0.858140102573042,0.999999999997996,0.00118722724461855,0.000277369712203411,0.0114668822255748,0.0200605417056575,5.98805632669058e-05
Faecalibacterium prausnitzii,0.00594549903326602,0,0,0,0,0.00538683440795264,0.0542352198294024,0.107123688762218,0.233726995747956,0.174884848303514
Flavonifractor plautii,0.0498675153401981,0,0,0,0,0.0491265397468841,0.0422772669694161,0.059722945660108,0.00166989006367112,0.00532820493688286
Fusicatenibacter saccharivorans,0,0,0,0,0,0,0,0,0.139163729508341,0
Holdemania filiformis,0.000710297343781273,0.0631426735738197,0.00330769958460877,0,0,0.0011202390633359,0.000573594993722021,1.18165328819354e-07,0.0219418986356455,9.872991357225e-05
Hungatella hathewayi,0.0350654985632419,0.344689268602869,0,0.0435208233078694,0,0.0353147014390021,0.0346050965851032,0,0.000713943024838851,0
Intestinibacter bartlettii,0.016022533151269,0,0,0.00928590136922813,0.00601332115528455,0.0181293562228994,0.0320873518233872,0.060157786511106,0.001923151243824,0.0170713655731623
Lachnospira pectinoschiza,0.0168064237368918,0,0,0,0,0.0173984259851328,0.00386363174329524,0,0.00854663142677868,0.00512065224715293
Lactobacillus delbrueckii,0.0113142192692504,0,0,0.0255317400479152,0,0.0128420858656607,0.0121892440589398,0.00624069563788176,0.0260959510979011,0.00787529949135334
Odoribacter splanchnicus,0,0,0,0,0,0,0.0371408227917501,0.0418697142086946,0.00011347288055974,0
Parabacteroides distasonis,0.192645595709027,0,0,0.000754618072168376,0,0.192853318895048,0.0657952621593225,0.0396900727286475,0.000424997972887153,0
Parabacteroides merdae,0.0465869764986662,0,0,0.0427531321722163,0,0.0409916969539248,0.063919848664135,0.234668541997819,0.0289063068772259,0.000244276449957779
Parasutterella excrementihominis,0,0,0,0,0,0,0.0353584638551882,0.000108893186778545,0.000693593502754582,0.00220597114077524
Phascolarctobacterium faecium,0,0,0,0,0,0,0.000302792426802487,0,0.0767232028420799,0
Phascolarctobacterium succinatutens,0,0,0,0,0,0,0.00527031720547006,0,0.00142132939414018,0
Roseburia hominis,0.00138557701017712,0,0,0,0,0.00106077033864532,0.000170054265869858,2.70378946142565e-05,0.000542508380850769,0.00883924357223164
Roseburia intestinalis,0.000988432278430621,0,0,0,0,0.0010655082293158,0.00153657413432838,0.0104403676095903,0.00900898554709409,0.0166826535474272
Roseburia inulinivorans,0.000150238933690106,0,0,0,0,0.000244682649807552,1.15947473999937e-05,0.00206612438399978,0.0157794420037231,0.0316404245167148
Ruminococcus bicirculans,0,0,0,0,0,0,0.0015327421375275,0.00538992056504307,0.000190550213400296,0.00050095299423425
Ruminococcus bromii,0,0,0,0,0,0,0.0203042392427551,0.0486737264424658,0.0145061395093377,0.000702897053040649
Ruminococcus callidus,0,0,0,0,0,0,0.0311040509537368,0,0.0361789292543803,0.0143220032808289
Ruminococcus chamellensis,0,0,0,0,0,0,0.00453268964316173,0,0.0699306401503936,0
Streptococcus mutans,0.00910823648283202,0,0,0.0380137547246228,0,0.00996329754930985,0.00834224824193125,0.00352079787462625,0.016902624455443,6.04026422195501e-05
Sutterella wadsworthensis,0.00175275481486124,0,0,0.0233833881682595,0,0.0023887927721833,0.000782535333849106,0.0534078511587014,0.026618415848962,0.00122242669890211
Turicibacter sanguinis,0.00404841587740359,0,0,0,0,0.00515649345316631,3.00924005223035e-07,0.0148889691667387,0.00725305756768278,0.00516869350562741
