MicrobeID	Catalase	Nitrate reductase	Cytochrome c oxidase	gamma-glutamyltransferase	Alkaline phosphatase	Acid phosphatase	Sialidase	Alpha-glucosidase	Beta-glucosidase	Alpha-galactosidase	Beta-galactosidase	Beta-mannosidase	Beta-glucuronidase	Alpha-fucosidase	N-acetyl-beta-glucosaminidase	Alpha-arabinosidase	6-phospho-beta-galactosidase	Leucine arylamidase	Leucyl glycine arylamidase	Alanine arylamidase	Tripeptide aminopeptidase	Urease	Pyrazinamidase	Beta-lactamase	Arginine dihydrolase	Glutamate decarboxylase	Ornithine decarboxylase	Lysine decarboxylase	Tryptophanase	Phenylalanine ammonia-lyase	6-phospho-beta-galactosidase
Acaricomes_phytoseiuli_DSM_14247	1	0	0	0	1	1	0	1	1	-1	-1	0	-1	-1	0	0	0	1	0	0	0	1	-1	0	0	0	0	0	0	0	0
Acetivibrio_cellulolyticus_CD2	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0
Acetobacterium_wieringae_DSM_1911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetonema_longum_DSM_6540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter_xylosoxidans_NBRC_15126	1	0	1	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	-1	0	0	-1	0	-1	-1	-1	0	0
Acidaminobacter_hydrogenoformans_DSM_2784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidaminococcus_fermentans_DSM_20731	0	0	0	0	-1	0	0	-1	-1	-1	-1	0	-1	-1	-1	-1	0	1	0	-1	0	-1	0	0	-1	-1	0	0	-1	0	-1
Acidobacterium_ailaaui_PMMR2	-1	0	-1	0	1	0	0	-1	-1	-1	-1	0	0	1	1	0	0	1	0	0	0	1	0	0	-1	0	0	0	-1	0	0
Acidobacterium_capsulatum_ATCC_51196	-1	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0	0
Acidovorax_caeni_R_24608	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB_1766_8	1	0	-1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0	0
