	Subsystem
12dgr180_secretion	Cell wall biosynthesis
12dgr180_uptake	Cell wall biosynthesis
12ppd_S_secretion	Glyoxylate and dicarboxylate metabolism
12ppd_S_uptake	Glyoxylate and dicarboxylate metabolism
13ppd_secretion	Glycerophospholipid metabolism
13ppd_uptake	Glycerophospholipid metabolism
15dap_secretion	Arginine and proline metabolism
15dap_uptake	Arginine and proline metabolism
26dap_M_secretion	Cell wall biosynthesis
26dap_M_uptake	Cell wall biosynthesis
2ddglcn_secretion	Pentose and glucuronate interconversions
2ddglcn_uptake	Pentose and glucuronate interconversions
2dmmq8_secretion	Citric acid cycle
2dmmq8_uptake	Citric acid cycle
2hyoxplac_secretion	Phenylalanine metabolism
2hyoxplac_uptake	Phenylalanine metabolism
2mbut_secretion	Stickland reaction
2mbut_uptake	Stickland reaction
2obut_secretion	C5-branched dibasic acid metabolism
2obut_uptake	C5-branched dibasic acid metabolism
2omfuc_secretion	Plant polysaccharide degradation
2omfuc_uptake	Plant polysaccharide degradation
2omxyl_secretion	Plant polysaccharide degradation
2omxyl_uptake	Plant polysaccharide degradation
34dhpha_secretion	Tyrosine metabolism
34dhpha_uptake	Tyrosine metabolism
35cgmp_secretion	Nucleotide interconversion
35cgmp_uptake	Nucleotide interconversion
3ddlhept_secretion	Plant polysaccharide degradation
3ddlhept_uptake	Plant polysaccharide degradation
3dhcdchol_secretion	Bile acid metabolism
3dhcdchol_uptake	Bile acid metabolism
3hcinnm_secretion	Phenylalanine metabolism
3hcinnm_uptake	Phenylalanine metabolism
3hphac_secretion	Tyrosine metabolism
3hphac_uptake	Tyrosine metabolism
3hpppn_secretion	Phenylalanine metabolism
3hpppn_uptake	Phenylalanine metabolism
3mop_secretion	Miscellaneous
3mop_uptake	Miscellaneous
4abut_secretion	Arginine and proline metabolism
4abut_uptake	Arginine and proline metabolism
4abz_secretion	Aminobenzoate degradation
4abz_uptake	Aminobenzoate degradation
4hbz_secretion	Aminobenzoate degradation
4hbz_uptake	Aminobenzoate degradation
4hoxpacd_secretion	Primary amine metabolism
4hoxpacd_uptake	Primary amine metabolism
4hphac_secretion	Phenylalanine metabolism
4hphac_uptake	Phenylalanine metabolism
4hpro_LT_secretion	Arginine and proline metabolism
4hpro_LT_uptake	Arginine and proline metabolism
5aop_secretion	Glycine, serine, alanine, and threonine metabolism
5aop_uptake	Glycine, serine, alanine, and threonine metabolism
5aptn_secretion	Arginine and proline metabolism
5aptn_uptake	Arginine and proline metabolism
5fthf_secretion	Folate metabolism
5fthf_uptake	Folate metabolism
5mta_secretion	Arginine and proline metabolism
5mta_uptake	Arginine and proline metabolism
5mthf_secretion	Folate metabolism
5mthf_uptake	Folate metabolism
6pgc_secretion	Pentose and glucuronate interconversions
6pgc_uptake	Pentose and glucuronate interconversions
7dhcdchol_secretion	Bile acid metabolism
7dhcdchol_uptake	Bile acid metabolism
abt_secretion	Pentose and glucuronate interconversions
abt_uptake	Pentose and glucuronate interconversions
ac_secretion	Alanine and aspartate metabolism
ac_uptake	Alanine and aspartate metabolism
acac_secretion	Butanoate metabolism
acac_uptake	Butanoate metabolism
acald_secretion	Aminophosphonate metabolism
acald_uptake	Aminophosphonate metabolism
acerA_secretion	Plant polysaccharide degradation
acerA_uptake	Plant polysaccharide degradation
acgal_secretion	Aminosugar metabolism
acgal_uptake	Aminosugar metabolism
acgalglcur_secretion	Chondroitin sulfate degradation
acgalglcur_uptake	Chondroitin sulfate degradation
acgalidour_secretion	Chondroitin sulfate degradation
acgalidour_uptake	Chondroitin sulfate degradation
acgalidour2s_secretion	Chondroitin sulfate degradation
acgalidour2s_uptake	Chondroitin sulfate degradation
acgam_secretion	Aminosugar metabolism
acgam_uptake	Aminosugar metabolism
acmana_secretion	Aminosugar metabolism
acmana_uptake	Aminosugar metabolism
acnam_secretion	Aminosugar metabolism
acnam_uptake	Aminosugar metabolism
acon_C_secretion	Citric acid cycle
acon_C_uptake	Citric acid cycle
actn_R_secretion	Butanoate metabolism
actn_R_uptake	Butanoate metabolism
ade_secretion	Arginine and proline metabolism
ade_uptake	Arginine and proline metabolism
adn_secretion	Methionine and cysteine metabolism
adn_uptake	Methionine and cysteine metabolism
adocbl_secretion	Vitamin B12 metabolism
adocbl_uptake	Vitamin B12 metabolism
adprib_secretion	NAD metabolism
adprib_uptake	NAD metabolism
ahcys_secretion	Androgen and estrogen synthesis and metabolism
ahcys_uptake	Androgen and estrogen synthesis and metabolism
ahdt_secretion	Folate metabolism
ahdt_uptake	Folate metabolism
aicar_secretion	Histidine metabolism
aicar_uptake	Histidine metabolism
akg_secretion	Alanine and aspartate metabolism
akg_uptake	Alanine and aspartate metabolism
ala_D_secretion	Alanine and aspartate metabolism
ala_D_uptake	Alanine and aspartate metabolism
ala_L_secretion	Alanine and aspartate metabolism
ala_L_uptake	Alanine and aspartate metabolism
alaala_secretion	Alanine and aspartate metabolism
alaala_uptake	Alanine and aspartate metabolism
alaasp_secretion	Peptide metabolism
alaasp_uptake	Peptide metabolism
alagln_secretion	Others
alagln_uptake	Others
alaglu_secretion	Peptide metabolism
alaglu_uptake	Peptide metabolism
alagly_secretion	Others
alagly_uptake	Others
alahis_secretion	Peptide metabolism
alahis_uptake	Peptide metabolism
alaleu_secretion	Peptide metabolism
alaleu_uptake	Peptide metabolism
alathr_secretion	Peptide metabolism
alathr_uptake	Peptide metabolism
algin_secretion	Plant polysaccharide degradation
algin_uptake	Plant polysaccharide degradation
all_D_secretion	Fructose and mannose metabolism
all_D_uptake	Fructose and mannose metabolism
alltn_secretion	Purine catabolism
alltn_uptake	Purine catabolism
amet_secretion	Androgen and estrogen synthesis and metabolism
amet_uptake	Androgen and estrogen synthesis and metabolism
ametam_secretion	Arginine and proline metabolism
ametam_uptake	Arginine and proline metabolism
amp_secretion	Alanine and aspartate metabolism
amp_uptake	Alanine and aspartate metabolism
amylopect900_secretion	Starch and sucrose metabolism
amylopect900_uptake	Starch and sucrose metabolism
amylose300_secretion	Starch and sucrose metabolism
amylose300_uptake	Starch and sucrose metabolism
apio-D_secretion	#N/A
apio-D_uptake	#N/A
arab_D_secretion	Lipopolysaccharide biosynthesis
arab_D_uptake	Lipopolysaccharide biosynthesis
arab_L_secretion	Ascorbate and aldarate metabolism
arab_L_uptake	Ascorbate and aldarate metabolism
arabinan101_secretion	Plant polysaccharide degradation
arabinan101_uptake	Plant polysaccharide degradation
arabinogal_secretion	Plant polysaccharide degradation
arabinogal_uptake	Plant polysaccharide degradation
arabinoxyl_secretion	Plant polysaccharide degradation
arabinoxyl_uptake	Plant polysaccharide degradation
arabttr_secretion	Plant polysaccharide degradation
arabttr_uptake	Plant polysaccharide degradation
arachcoa_secretion	Fatty acid oxidation
arachcoa_uptake	Fatty acid oxidation
arbt_secretion	Histone phosphorylation
arbt_uptake	Histone phosphorylation
arg_L_secretion	Alanine and aspartate metabolism
arg_L_uptake	Alanine and aspartate metabolism
arsenb_secretion	Small molecules
arsenb_uptake	Small molecules
asn_L_secretion	Alanine and aspartate metabolism
asn_L_uptake	Alanine and aspartate metabolism
asnasnarg_secretion	Peptide metabolism
asnasnarg_uptake	Peptide metabolism
aso3_secretion	Respiration
aso3_uptake	Respiration
aso4_secretion	Respiration
aso4_uptake	Respiration
asp_L_secretion	Alanine and aspartate metabolism
asp_L_uptake	Alanine and aspartate metabolism
atp_secretion	Alanine and aspartate metabolism
atp_uptake	Alanine and aspartate metabolism
bglc_secretion	Dietary fiber binding
bglc_uptake	Dietary fiber binding
bhb_secretion	Butanoate metabolism
bhb_uptake	Butanoate metabolism
biocyt_secretion	Biotin metabolism
biocyt_uptake	Biotin metabolism
biomass_secretion	Others
biomass_uptake	Others
btd_RR_secretion	Butanoate metabolism
btd_RR_uptake	Butanoate metabolism
btn_secretion	Biotin metabolism
btn_uptake	Biotin metabolism
btoh_secretion	Pyruvate metabolism
btoh_uptake	Pyruvate metabolism
but_secretion	Butanoate metabolism
but_uptake	Butanoate metabolism
butam_secretion	Valine, leucine, and isoleucine metabolism
butam_uptake	Valine, leucine, and isoleucine metabolism
butso3_secretion	Respiration
butso3_uptake	Respiration
bz_secretion	Alkaloid synthesis
bz_uptake	Alkaloid synthesis
bzam_secretion	Aminobenzoate degradation
bzam_uptake	Aminobenzoate degradation
C02356_secretion	Urea cycle
C02356_uptake	Urea cycle
C02528_secretion	Bile acid metabolism
C02528_uptake	Bile acid metabolism
C05767_secretion	Heme synthesis
C05767_uptake	Heme synthesis
C05770_secretion	Heme synthesis
C05770_uptake	Heme synthesis
c6crn_secretion	#N/A
c6crn_uptake	#N/A
ca2_secretion	Small molecules
ca2_uptake	Small molecules
cbl1_secretion	Vitamin B12 metabolism
cbl1_uptake	Vitamin B12 metabolism
cbl2_secretion	Vitamin B12 metabolism
cbl2_uptake	Vitamin B12 metabolism
cd2_secretion	Small molecules
cd2_uptake	Small molecules
cdp_secretion	Cholesterol metabolism
cdp_uptake	Cholesterol metabolism
CE2250_secretion	Fatty acid synthesis
CE2250_uptake	Fatty acid synthesis
cellb_secretion	Starch and sucrose metabolism
cellb_uptake	Starch and sucrose metabolism
cellttr_secretion	Plant polysaccharide degradation
cellttr_uptake	Plant polysaccharide degradation
cellul_secretion	Plant polysaccharide degradation
cellul_uptake	Plant polysaccharide degradation
cgly_secretion	Alanine and aspartate metabolism
cgly_uptake	Alanine and aspartate metabolism
ch4s_secretion	Methionine and cysteine metabolism
ch4s_uptake	Methionine and cysteine metabolism
chitin_secretion	Plant polysaccharide degradation
chitin_uptake	Plant polysaccharide degradation
chol_secretion	Glycerophospholipid metabolism
chol_uptake	Glycerophospholipid metabolism
cholate_secretion	Bile acid metabolism
cholate_uptake	Bile acid metabolism
cholp_secretion	Glycerophospholipid metabolism
cholp_uptake	Glycerophospholipid metabolism
chols_secretion	Glycine, serine, alanine, and threonine metabolism
chols_uptake	Glycine, serine, alanine, and threonine metabolism
chor_secretion	Folate metabolism
chor_uptake	Folate metabolism
chsterol_secretion	Bile acid metabolism
chsterol_uptake	Bile acid metabolism
chtbs_secretion	Aminosugar metabolism
chtbs_uptake	Aminosugar metabolism
chtn_secretion	Aminosugar metabolism
chtn_uptake	Aminosugar metabolism
Cit_Mg_secretion	Small molecules
Cit_Mg_uptake	Small molecules
cit_secretion	Citric acid cycle
cit_uptake	Citric acid cycle
cl_secretion	Drug metabolism
cl_uptake	Drug metabolism
cmp_secretion	Blood group synthesis
cmp_uptake	Blood group synthesis
co2_secretion	Alanine and aspartate metabolism
co2_uptake	Alanine and aspartate metabolism
coa_secretion	Alanine and aspartate metabolism
coa_uptake	Alanine and aspartate metabolism
cobalt2_secretion	Vitamin B12 metabolism
cobalt2_uptake	Vitamin B12 metabolism
core2_secretion	Keratan sulfate synthesis
core2_uptake	Keratan sulfate synthesis
core3_secretion	Mucin O-glycan biosynthesis
core3_uptake	Mucin O-glycan biosynthesis
core4_secretion	Keratan sulfate synthesis
core4_uptake	Keratan sulfate synthesis
core5_secretion	O-glycan degradation
core5_uptake	O-glycan degradation
core6_secretion	Keratan sulfate degradation
core6_uptake	Keratan sulfate degradation
core7_secretion	O-glycan degradation
core7_uptake	O-glycan degradation
core8_secretion	O-glycan degradation
core8_uptake	O-glycan degradation
cps_fp_secretion	Cell wall biosynthesis
cps_fp_uptake	Cell wall biosynthesis
crm_hs_secretion	Glycerophospholipid metabolism
crm_hs_uptake	Glycerophospholipid metabolism
crn_secretion	Fatty acid oxidation
crn_uptake	Fatty acid oxidation
cro4_secretion	Small molecules
cro4_uptake	Small molecules
csn_secretion	Methionine and cysteine metabolism
csn_uptake	Methionine and cysteine metabolism
cspg_a_degr_secretion	Chondroitin sulfate degradation
cspg_a_degr_uptake	Chondroitin sulfate degradation
cspg_a_secretion	Chondroitin sulfate degradation
cspg_a_uptake	Chondroitin sulfate degradation
cspg_ab_rest_secretion	Chondroitin sulfate degradation
cspg_ab_rest_uptake	Chondroitin sulfate degradation
cspg_b_degr_secretion	Chondroitin sulfate degradation
cspg_b_degr_uptake	Chondroitin sulfate degradation
cspg_b_secretion	Chondroitin sulfate degradation
cspg_b_uptake	Chondroitin sulfate degradation
cspg_c_degr_secretion	Chondroitin sulfate degradation
cspg_c_degr_uptake	Chondroitin sulfate degradation
cspg_c_rest_secretion	Chondroitin sulfate degradation
cspg_c_rest_uptake	Chondroitin sulfate degradation
cspg_c_secretion	Chondroitin sulfate degradation
cspg_c_uptake	Chondroitin sulfate degradation
ctbt_secretion	Fatty acid oxidation
ctbt_uptake	Fatty acid oxidation
ctp_secretion	Aminosugar metabolism
ctp_uptake	Aminosugar metabolism
cu2_secretion	Small molecules
cu2_uptake	Small molecules
cynt_secretion	Miscellaneous
cynt_uptake	Miscellaneous
cys_L_secretion	Alanine and aspartate metabolism
cys_L_uptake	Alanine and aspartate metabolism
cytd_secretion	Nucleotide interconversion
cytd_uptake	Nucleotide interconversion
dad_2_secretion	Nucleotide interconversion
dad_2_uptake	Nucleotide interconversion
datp_secretion	Aminosugar metabolism
datp_uptake	Aminosugar metabolism
db4p_secretion	Vitamin B2 metabolism
db4p_uptake	Vitamin B2 metabolism
dchac_secretion	Bile acid metabolism
dchac_uptake	Bile acid metabolism
dcmp_secretion	Nucleotide interconversion
dcmp_uptake	Nucleotide interconversion
dcyt_secretion	Nucleotide interconversion
dcyt_uptake	Nucleotide interconversion
ddca_secretion	Cytochrome metabolism
ddca_uptake	Cytochrome metabolism
dextran40_secretion	Plant polysaccharide degradation
dextran40_uptake	Plant polysaccharide degradation
dextrin_secretion	Starch and sucrose metabolism
dextrin_uptake	Starch and sucrose metabolism
dgchol_secretion	Bile acid metabolism
dgchol_uptake	Bile acid metabolism
dgmp_secretion	Nucleotide interconversion
dgmp_uptake	Nucleotide interconversion
dgsn_secretion	Nucleotide interconversion
dgsn_uptake	Nucleotide interconversion
dgtp_secretion	Glycolysis/gluconeogenesis
dgtp_uptake	Glycolysis/gluconeogenesis
dhcinnm_secretion	Phenylalanine metabolism
dhcinnm_uptake	Phenylalanine metabolism
dhna_secretion	Ubiquinone and other terpenoid-quinone biosynthesis
dhna_uptake	Ubiquinone and other terpenoid-quinone biosynthesis
dhnacoa_secretion	Ubiquinone and other terpenoid-quinone biosynthesis
dhnacoa_uptake	Ubiquinone and other terpenoid-quinone biosynthesis
dhpppn_secretion	Phenylalanine metabolism
dhpppn_uptake	Phenylalanine metabolism
diact_secretion	Pyruvate metabolism
diact_uptake	Pyruvate metabolism
din_secretion	Nucleotide interconversion
din_uptake	Nucleotide interconversion
dma_secretion	Glyoxylate and dicarboxylate metabolism
dma_uptake	Glyoxylate and dicarboxylate metabolism
dpcoa_secretion	CoA catabolism
dpcoa_uptake	CoA catabolism
drib_secretion	Pentose phosphate pathway
drib_uptake	Pentose phosphate pathway
dsT_antigen_secretion	O-glycan degradation
dsT_antigen_uptake	O-glycan degradation
dtdp_secretion	Biosynthesis of 12-, 14- and 16-membered macrolides
dtdp_uptake	Biosynthesis of 12-, 14- and 16-membered macrolides
dtmp_secretion	Nucleotide interconversion
dtmp_uptake	Nucleotide interconversion
dttp_secretion	NAD metabolism
dttp_uptake	NAD metabolism
duri_secretion	Nucleotide interconversion
duri_uptake	Nucleotide interconversion
dxtrn_secretion	Miscellaneous
dxtrn_uptake	Miscellaneous
eltr_m3_secretion	Drug metabolism
eltr_m3_uptake	Drug metabolism
etha_secretion	Cell wall biosynthesis
etha_uptake	Cell wall biosynthesis
ethamp_secretion	Cell wall biosynthesis
ethamp_uptake	Cell wall biosynthesis
ethrtl_secretion	Fructose and mannose metabolism
ethrtl_uptake	Fructose and mannose metabolism
ethso3_secretion	Respiration
ethso3_uptake	Respiration
etoh_secretion	Glycolysis/gluconeogenesis
etoh_uptake	Glycolysis/gluconeogenesis
f1a_secretion	Keratan sulfate degradation
f1a_uptake	Keratan sulfate degradation
fad_secretion	Alanine and aspartate metabolism
fad_uptake	Alanine and aspartate metabolism
fald_secretion	Aminobenzoate degradation
fald_uptake	Aminobenzoate degradation
fdp_secretion	Fructose and mannose metabolism
fdp_uptake	Fructose and mannose metabolism
fe2_secretion	Heme degradation
fe2_uptake	Heme degradation
fe3_secretion	Heme synthesis
fe3_uptake	Heme synthesis
fe3dcit_secretion	Small molecules
fe3dcit_uptake	Small molecules
fecrm_secretion	Small molecules
fecrm_uptake	Small molecules
fol_secretion	Folate metabolism
fol_uptake	Folate metabolism
for_secretion	Arginine and proline metabolism
for_uptake	Arginine and proline metabolism
fru_secretion	Drug metabolism
fru_uptake	Drug metabolism
fuc_L_secretion	Drug metabolism
fuc_L_uptake	Drug metabolism
fuc1p_L_secretion	Fructose and mannose metabolism
fuc1p_L_uptake	Fructose and mannose metabolism
fum_secretion	Alanine and aspartate metabolism
fum_uptake	Alanine and aspartate metabolism
g1p_secretion	Galactose metabolism
g1p_uptake	Galactose metabolism
g3pc_secretion	Glycerophospholipid metabolism
g3pc_uptake	Glycerophospholipid metabolism
g6p_secretion	Glycerophospholipid metabolism
g6p_uptake	Glycerophospholipid metabolism
gal_secretion	Chondroitin sulfate degradation
gal_uptake	Chondroitin sulfate degradation
galactan_secretion	Plant polysaccharide degradation
galactan_uptake	Plant polysaccharide degradation
galam_secretion	Aminosugar metabolism
galam_uptake	Aminosugar metabolism
galct_D_secretion	Ascorbate and aldarate metabolism
galct_D_uptake	Ascorbate and aldarate metabolism
galctn_D_secretion	Galactose metabolism
galctn_D_uptake	Galactose metabolism
galmannan_secretion	Plant polysaccharide degradation
galmannan_uptake	Plant polysaccharide degradation
galside_hs_secretion	Glycosphingolipid metabolism
galside_hs_uptake	Glycosphingolipid metabolism
galt_secretion	Galactose metabolism
galt_uptake	Galactose metabolism
galur_secretion	Pentose and glucuronate interconversions
galur_uptake	Pentose and glucuronate interconversions
gam_secretion	Aminosugar metabolism
gam_uptake	Aminosugar metabolism
gam26s_secretion	Drug metabolism
gam26s_uptake	Drug metabolism
gam6p_secretion	Aminosugar metabolism
gam6p_uptake	Aminosugar metabolism
gbbtn_secretion	Fatty acid oxidation
gbbtn_uptake	Fatty acid oxidation
gcald_secretion	Cell wall biosynthesis
gcald_uptake	Cell wall biosynthesis
gchola_secretion	Bile acid metabolism
gchola_uptake	Bile acid metabolism
gdp_secretion	Blood group synthesis
gdp_uptake	Blood group synthesis
glc_D_secretion	Cyanoamino acid metabolism
glc_D_uptake	Cyanoamino acid metabolism
glcmannan_secretion	Plant polysaccharide degradation
glcmannan_uptake	Plant polysaccharide degradation
glcn_secretion	Pentose and glucuronate interconversions
glcn_uptake	Pentose and glucuronate interconversions
glcr_secretion	Ascorbate and aldarate metabolism
glcr_uptake	Ascorbate and aldarate metabolism
glcur_secretion	Chondroitin sulfate degradation
glcur_uptake	Chondroitin sulfate degradation
gln_L_secretion	Alanine and aspartate metabolism
gln_L_uptake	Alanine and aspartate metabolism
glnasngln_secretion	Peptide metabolism
glnasngln_uptake	Peptide metabolism
glnlyslys_secretion	Peptide metabolism
glnlyslys_uptake	Peptide metabolism
glu_D_secretion	Cell wall biosynthesis
glu_D_uptake	Cell wall biosynthesis
glu_L_secretion	Alanine and aspartate metabolism
glu_L_uptake	Alanine and aspartate metabolism
glutar_secretion	Butanoate metabolism
glutar_uptake	Butanoate metabolism
gly_secretion	Alanine and aspartate metabolism
gly_uptake	Alanine and aspartate metabolism
glyasn_secretion	Peptide metabolism
glyasn_uptake	Peptide metabolism
glyasp_secretion	Peptide metabolism
glyasp_uptake	Peptide metabolism
glyb_secretion	Glycine, serine and threonine metabolism
glyb_uptake	Glycine, serine and threonine metabolism
glyc_secretion	Arachidonic acid metabolism
glyc_uptake	Arachidonic acid metabolism
glyc3p_secretion	Cell wall biosynthesis
glyc3p_uptake	Cell wall biosynthesis
glyclt_secretion	Glyoxylate and dicarboxylate metabolism
glyclt_uptake	Glyoxylate and dicarboxylate metabolism
glycogen1500_secretion	Starch and sucrose metabolism
glycogen1500_uptake	Starch and sucrose metabolism
glycys_secretion	Peptide metabolism
glycys_uptake	Peptide metabolism
glygln_secretion	Peptide metabolism
glygln_uptake	Peptide metabolism
glyglu_secretion	Peptide metabolism
glyglu_uptake	Peptide metabolism
glygn2_secretion	Starch and sucrose metabolism
glygn2_uptake	Starch and sucrose metabolism
glygn4_secretion	Starch and sucrose metabolism
glygn4_uptake	Starch and sucrose metabolism
