Bin Id,SRR059400 ,SRR059401 ,SRR059404 ,SRR059405 ,SRR059468 ,SRR059469 ,SRR059876 ,SRR059877 ,SRR059996 ,SRR059997 ,SRR060396 ,SRR060397 ,SRR060398 ,SRR060399 ,SRR060402 ,SRR060403 ,SRR060428 ,SRR060429 ,SRR061301 ,SRR061306 ,SRR061329 ,SRR061332 ,SRR061340 ,SRR061347 ,SRR061348 ,SRR061360 ,SRR061370 ,SRR061375 ,SRR061383 ,SRR061384 ,SRR061387 ,SRR061391 ,SRR061394 ,SRR061404 ,SRR061406 ,SRR061409 ,SRR061410 ,SRR061418 ,SRR061461 ,SRR061462 ,SRR061465 ,SRR061470 ,SRR061525 ,SRR061527 ,SRR061533 ,SRR061539 ,SRR061901 ,SRR061902 ,SRR061913 ,SRR061914 ,SRR061941 ,SRR061942 ,SRR061943 ,SRR061944 ,SRR061991 ,SRR061992 ,SRR061993 ,SRR061994 ,SRR062025 ,SRR062026 ,SRR062076 ,SRR062077 ,SRR062104 ,SRR062105 ,SRR062445 ,SRR062451 ,SRR062516 ,SRR062536 ,SRR062537 ,SRR063464 ,SRR063465 ,SRR063490 ,SRR063491 ,SRR063498 ,SRR063500 ,SRR063524 ,SRR063526 ,SRR063912 ,SRR063920 ,SRR063925 ,SRR063927 ,SRR346676 ,SRR346677 ,SRR346678 ,SRR353621 ,SRR353623 ,SRR353628 
Abiotrophia_defectiva_ATCC_49176,0.015871711,0.010205809,0.000690499,0.000673694,0.00155249,0.003056306,0.016150246,0.001820892,3.391784814,3.779416583,0,0,0.047725082,0.087843509,0,0.000877591,0,0,0.003287861,0.004020773,0,0.00264183,0.051460707,1.338585819,1.303118781,0.261801682,0.099533652,0.001141353,0.00048352,0.000975455,0.000496904,0.135559516,0.018275058,0.000943294,0.005088056,0.047450512,0.000232237,0.051551988,0.001806911,0.001025842,0.109427814,0.023078767,0,0,0,0,0.008052557,0.012642142,0.002322219,0.002388523,0,0.000469333,0.037364575,0.03849184,0.00676203,0.005185362,0.005267876,0.005175563,0.004949667,0.005359531,0,0,0,0,0.003963472,0.004845798,0.310811846,0,0,0.002294753,0,0.000539869,0.002647906,0.001841333,0.004199374,0,0,0.006112824,0.006883656,0.007783475,0.008618056,0.002452404,0,0.001873721,0.379964193,0.000313869,0.020295658
Acaricomes_phytoseiuli_DSM_14247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acaryochloris_marina_MBIC11017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetanaerobacterium_elongatum_CGMCC_1_5012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000338447,0,0,0,0,0.000417279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000365989,0,0,0,0,0,0
Acetatifactor_muris_GP69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000429699,8.54E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000555552,0,0,0,0,0
Acetivibrio_cellulolyticus_CD2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetivibrio_ethanolgignens_ACET_33324,0.000354434,0,0,0,0.000173345,0,0,0,0,0,0,0,0.005328785,0.012260303,0,0,0,0,0,0,0,0.00036872,0,0,0,0,0.000257257,0.000127439,0,0,0,0,0,0,0.000473426,0,0.000129653,0,0,0,0,0.000678126,0,0,0,0,0,0,0.000324112,0.000333366,0,0,0,0,0,0.000275703,0,0.000577882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000487523,0,0,0,0,0,0,0,0,0
Acetobacterium_wieringae_DSM_1911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000489962,0.0004865,0,0,0,0,0,0,0.000252504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetonema_longum_DSM_6540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achromobacter_insuavis_AXX_A,0,0,0,0,0,0,0,0,0,0,0,0,0.017057467,0.006540882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000143548,0,0,0.000138127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000157732,0,0,0,0,0.000520188,0,0,0,0,0,0,0,0,0
